claim_no,policy_no,plate_no,source_file,class_of_business,vehicle_type_group,vehicle_type,accident_type,branch_name,sum_insured_numeric,reporting_lag_days,coverage_duration_days,is_comprehensive,policy_type,accident_date,notification_date,period_from,period_to,od_total,tp_bi_total,tp_pd_total,total_claim_severity,log_claim_severity
TDB/MTP/038/24,TDB/MTC/2085/1123,03-B70513 AA,January_2025,Commercial,Not_Specified,Not_Specified,Collision,Debre Birhan,4000000.0,3.0,329.0,1,COMPREHENSIVE,2024-12-13 00:00:00,2024-12-16,2024-05-12,2025-04-06,175128.25,0.0,0.0,175128.25,12.07327384163984
TDB/MTP/039/24,TDB/MTC/0822/0621,03-97339ET,January_2025,Commercial,Truck,Truck,Collision,Debre Birhan,5000000.0,2.0,364.0,1,COMPREHENSIVE,2024-12-15 00:00:00,2024-12-17,2024-05-18,2025-05-17,281355.9,0.0,0.0,281355.9,12.547375694963216
TDB/TPCL/002/25,TDB/MTT/2226/0624,03-29267 AM,January_2025,Commercial,Not_Specified,Not_Specified,Collision,Debre Birhan,0.0,,312.0,0,TP_ONLY,2024-12-30 00:00:00,,2024-06-28,2025-05-06,0.0,0.0,21700.0,21700.0,9.98506753952855
TDB/TPCL/004/24,TDB/MTT/1578/1022,03-16321AM,March_2025,Public_Transport,Bus_Minibus,Bus,Collision,Debre Birhan,0.0,13.0,365.0,0,TP_ONLY,2024-01-24 00:00:00,2024-02-06,2023-10-14,2024-10-13,0.0,0.0,40000.0,40000.0,10.596634733096073
TDB/TPCL/004/25,TDB/MTT/1819/0523,03-23589Am,February_2025,Public_Transport,Bus_Minibus,M/Bus,Collision,Debre Birhan,0.0,6.0,364.0,0,TP_ONLY,2025-01-09 00:00:00,2025-01-15,2024-07-28,2025-07-27,0.0,0.0,100900.0,100900.0,11.5218852063417
TDB/TPCL/005/25,TDB/MTT/2508/0722,03-87830ET,April_2025,Commercial,Not_Specified,Not_Specified,Collision,Debre Birhan,0.0,6.0,364.0,0,TP_ONLY,2025-01-17 00:00:00,2025-01-23,2024-07-17,2025-07-16,0.0,56225.0,48800.0,105025.0,11.561953696037582
TDB/TPCL/006/25,TDB/MTT/2152/0224,03-33870AM,June_2025,Commercial,Pick_Up,Pick Up,Collision,Debre Birhan,0.0,2.0,365.0,0,TP_ONLY,2025-01-21 00:00:00,2025-01-23,2024-02-16,2025-02-15,0.0,0.0,16956.52,16956.52,9.738407699612573
TDB/TPCL/008/25,TDB/MTT/1525/0822,01-62822AM,May_2025,Public_Transport,Bus_Minibus,Taxi,Collision,Debre Birhan,0.0,,364.0,0,TP_ONLY,2023-01-22 00:00:00,2025-01-22,2022-08-26,2023-08-25,0.0,0.0,16940.0,16940.0,9.737432968206043
TDB/TPCL/010/25,TDB/MTT/1841/0523,03-26109 AM,March_2025,Public_Transport,Bus_Minibus,Bus,Collision,Debre Birhan,0.0,2.0,364.0,0,TP_ONLY,2025-02-12 00:00:00,2025-02-14,2024-05-29,2025-05-28,0.0,0.0,58400.0,58400.0,10.97507116881632
TDB/TPCL/012/23,TDB/MTT/1459/0722,03-19996AM,August_2024,Public_Transport,Bus_Minibus,Mini Bus,Overturning,Debre Birhan,0.0,9.0,364.0,0,TP_ONLY,2023-06-13 00:00:00,2023-06-22,2022-07-07,2023-07-06,0.0,0.0,1824.4,1824.4,7.509006444837546
TDB/TPCL/012/25,TDB/MTT/2265/0824,03-B81707AA,April_2025,Commercial,Truck,Truck,Collision,Debre Birhan,0.0,3.0,364.0,0,TP_ONLY,2025-03-08 00:00:00,2025-03-11,2024-08-16,2025-08-15,0.0,0.0,75054.15,75054.15,11.225965132001836
TDB/TPCL/013/23,TDB/MTT/1717/0123,03-20205AM,February_2025,Public_Transport,Bus_Minibus,Isuzu/Bus,Overturning,Debre Birhan,0.0,8.0,364.0,0,TP_ONLY,2023-06-15 00:00:00,2023-06-23,2023-01-12,2024-01-11,0.0,0.0,40000.0,40000.0,10.596634733096073
TDB/TPCL/014/24,TDB/MTT/1616/1122,03-29562 AM,July_2024,Public_Transport,Automobile,Automobile,Collision,Debre Birhan,0.0,5.0,365.0,0,TP_ONLY,2024-04-29 00:00:00,2024-05-04,2023-11-05,2024-11-04,0.0,0.0,31500.0,31500.0,10.357742824813725
TDB/TPCL/018/25,.,03-A04555 ET,June_2025,Commercial,Truck,Truck,Collision,Debre Birhan,0.0,1.0,364.0,0,TP_ONLY,2025-04-15 00:00:00,2025-04-16,2024-06-11,2025-06-10,0.0,0.0,100000.0,100000.0,11.512925464970229
TDB/TPCL/019/25,TDB/MTT/2397/0125,03-B45321 AA,May_2025,Commercial,Truck,Truck,Collision,Debre Birhan,0.0,1.0,364.0,0,TP_ONLY,2025-04-16 00:00:00,2025-04-17,2025-01-30,2026-01-29,0.0,0.0,200000.0,200000.0,12.206072645530174
TDB/TPCL/021/24,TDM/MTT/1819/0523,03-23589AM,October_2024,Public_Transport,Bus_Minibus,Minibus,Collision,Debre Birhan,0.0,5.0,,0,TP_ONLY,2024-06-29 00:00:00,2024-07-04,2024-07-28,2024-07-27,0.0,30000.0,66650.0,96650.0,11.478851484636476
TDB/TPCL/024/23,TDB/MTT/1723/0123,03-17372AM,October_2024,Public_Transport,Bus_Minibus,Bus,Collision,Debre Birhan,0.0,6.0,364.0,0,TP_ONLY,2023-12-07 00:00:00,2023-12-13,2023-01-14,2024-01-13,0.0,40000.0,0.0,40000.0,10.596634733096073
TDB/TPCL/026/24,TDB/MTT/2124/0124,03-22526AA,October_2024,Commercial,Truck,Trucker,Collision,Debre Birhan,0.0,0.0,359.0,0,TP_ONLY,2024-09-04 00:00:00,2024-09-04,2024-02-05,2025-01-29,0.0,0.0,13000.0,13000.0,9.472704636443671
TDB/TPCL/027/24,TDB/MTT/1123/0523,03-07153AM,February_2025,Public_Transport,Bus_Minibus,Minibus,Collision,Debre Birhan,0.0,1.0,364.0,0,TP_ONLY,2024-09-19 00:00:00,2024-09-20,2024-03-18,2025-03-17,0.0,0.0,34216.09,34216.09,10.44045128025166
TDB/TPCL/032/24, TDB/MTT/2106/0424 ,03-82917ET,March_2025,Commercial,Truck,Truck,Collision,Debre Birhan,0.0,,365.0,0,TP_ONLY,,2024-11-27,2024-02-07,2025-02-06,0.0,0.0,77350.0,77350.0,11.256095856001211
TDB/TPCL/035/24, TDB/MTT/1748/0223 ,03-82917ET,March_2025,Commercial,Truck,Truck,Collision,Debre Birhan,0.0,7.0,365.0,0,TP_ONLY,2024-11-30 00:00:00,2024-12-07,2024-02-07,2025-02-06,0.0,0.0,31000.0,31000.0,10.341742483467284
TDB/TPCL/036/24, TDB/MTT/1471/0722 ,03-29285AM,April_2025,Public_Transport,Bus_Minibus,Bus,Collision,Debre Birhan,0.0,8.0,364.0,0,TP_ONLY,2024-12-01 00:00:00,2024-12-09,2024-07-21,2025-07-20,0.0,0.0,85000.0,85000.0,11.350406535472452
TDB/TPCL/038/24, TDB/MTT/1760/0223,03-A31171AA,June_2025,Commercial,Not_Specified,Not_Specified,Collision,Debre Birhan,0.0,76.0,365.0,0,TP_ONLY,2024-10-16 00:00:00,2024-12-31,2024-02-21,2025-02-20,0.0,0.0,173913.04,173913.04,12.066310683155017
TDD/MTCL/0036/20,TDD/MTC/0134/0818,3-92417-ET,October_2024,Commercial,Truck,Tipper,Collision,Dire Dawa,1500000.0,62.0,183.0,1,COMPREHENSIVE,2020-07-09 00:00:00,2020-09-09,2020-08-21,2021-02-20,0.0,0.0,37950.0,37950.0,10.544024782823776
TDD/MTP/001/23,TDD/MTP/1603/0922,02-03685OR,April_2025,Private,Pick_Up,Pick Up,Collision,Dire Dawa,2500000.0,2.0,180.0,1,COMPREHENSIVE,2023-01-02 00:00:00,2023-01-04,2022-09-06,2023-03-05,38177.0,0.0,0.0,38177.0,10.549988519022302
TDD/MTP/001/25,TDD/MTC/2701/0524,03-72382ET,February_2025,Commercial,Truck,Truck,Collision,Dire Dawa,3500000.0,0.0,364.0,1,COMPREHENSIVE,2025-01-08 00:00:00,2025-01-08,2024-05-26,2025-05-25,65551.7,0.0,0.0,65551.7,11.090594423256777
TDD/MTP/002/25,TDD/MTC/0646/0520,02-02963DR,February_2025,Private,Automobile,Automobile,Collision,Dire Dawa,4500000.0,3.0,180.0,1,COMPREHENSIVE,2025-01-10 00:00:00,2025-01-13,2024-11-23,2025-05-22,100744.75,0.0,0.0,100744.75,11.520345369270055
TDD/MTP/003/24,TDD/MTC/1416/0422,03-07154DR,July_2024,Commercial,Automobile,Automobile,Overturning,Dire Dawa,3000000.0,1.0,365.0,1,COMPREHENSIVE,2024-01-22 00:00:00,2024-01-23,2023-04-29,2024-04-28,990.0,0.0,0.0,990.0,6.897704943128636
TDD/MTP/004/25,TDD/MTC/1692/1022,03-03561DR,May_2025,Private,Automobile,Automobile,Overturning,Dire Dawa,3000000.0,1.0,183.0,1,COMPREHENSIVE,2025-04-10 00:00:00,2025-04-11,2025-03-02,2025-09-01,14543.95,0.0,0.0,14543.95,9.584930378567568
TDD/MTP/007/24,,03-B78881AA,September_2024,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,1700000.0,3.0,365.0,1,COMPREHENSIVE,2024-02-10 00:00:00,2024-02-13,2023-07-02,2024-07-01,29306.69,0.0,0.0,29306.69,10.28557109658742
TDD/MTP/008/22,TDD/MTC/A1352/0222,02-03601 DR,July_2024,Private,Automobile,Automobile,Collision,Dire Dawa,1500000.0,3.0,392.0,1,COMPREHENSIVE,2022-03-26 00:00:00,2022-03-29,2022-03-01,2023-03-28,1555.0,0.0,0.0,1555.0,7.349230824613334
TDD/MTP/010/24,TDD/MTC/1455/0522,03-07172 DR,March_2025,Commercial,Not_Specified,Not_Specified,Breaking_Glass,Dire Dawa,4000000.0,,365.0,1,COMPREHENSIVE,2024-02-24 00:00:00,,2024-01-17,2025-01-16,65187.62,0.0,0.0,65187.62,11.085024852585152
TDD/MTP/011/24,TDD/MTC/2015/0523,02-B45383AA,March_2025,Private,Truck,Truck,Collision,Dire Dawa,4000000.0,1.0,365.0,1,COMPREHENSIVE,2024-03-13 00:00:00,2024-03-14,2024-02-24,2025-02-23,53404.71,0.0,0.0,53404.71,10.885654223305888
TDD/MTP/013/24,TDD/MTC/1123/0921,02-B75622ET,August_2024,Private,Truck,Truck,Collision,Dire Dawa,4000000.0,3.0,548.0,1,COMPREHENSIVE,2024-05-01 00:00:00,2024-05-04,2024-03-15,2025-09-14,381715.0,0.0,0.0,381715.0,12.852429535839097
TDD/MTP/014/24,TDD/MTC/0573/0120,02-A15552AA,July_2024,Private,Automobile,Automobile,Collision,Dire Dawa,3800000.0,1.0,181.0,1,COMPREHENSIVE,2024-05-03 00:00:00,2024-05-04,2024-02-01,2024-07-31,3440350.0,0.0,0.0,3440350.0,15.05108376836004
TDD/MTP/015/24,TDD/MTP/1393/0422,01-12118DR,July_2024,Commercial,Automobile,Automobile,Collision,Dire Dawa,500000.0,2.0,365.0,1,COMPREHENSIVE,2024-05-02 00:00:00,2024-05-04,2023-07-15,2024-07-14,9017.5,0.0,0.0,9017.5,9.106922412777694
TDD/MTP/016/23,TDD/MTP/1454/0522,02-12212DR,August_2024,Private,Automobile,Automobile,Collision,Dire Dawa,2000000.0,3.0,365.0,1,COMPREHENSIVE,2023-09-05 00:00:00,2023-09-08,2023-05-25,2024-05-24,37375.0,0.0,0.0,37375.0,10.528757310692988
TDD/MTP/017/24,TDD/MTC/2160/0823,03-07758OR,October_2024,Private,Truck,Truck,Breaking_Glass,Dire Dawa,2800000.0,4.0,334.0,1,COMPREHENSIVE,2024-06-06 00:00:00,2024-06-10,2024-01-06,2024-12-05,17540.0,0.0,0.0,17540.0,9.772239265926174
TDD/MTP/020/24,TDD/MTC/0450/0919,03-B45003AA,August_2024,Private,Truck,Truck,Collision,Dire Dawa,4000000.0,0.0,183.0,1,COMPREHENSIVE,2024-07-31 00:00:00,2024-07-31,2024-03-26,2024-09-25,11473.75,0.0,0.0,11473.75,9.3478170965333
TDD/MTP/021/24,TDD/MTP/1428/0522,02-03595DR,February_2025,Private,Automobile,Automobile,Breaking_Glass,Dire Dawa,2500000.0,0.0,364.0,1,COMPREHENSIVE,2024-08-22 00:00:00,2024-08-22,2024-05-13,2025-05-12,11550.0,0.0,0.0,11550.0,9.35444071594994
TDD/MTP/022/24,TDD/MTC/1455/0522,03-07172DR,October_2024,Commercial,Not_Specified,Not_Specified,Other,Dire Dawa,4000000.0,1.0,365.0,1,COMPREHENSIVE,2024-09-05 00:00:00,2024-09-06,2024-01-17,2025-01-16,74613.75,0.0,0.0,74613.75,11.220080085561568
TDD/MTP/027/24,TDD/MTC/1191/1021,03-06972DR,March_2025,Private,Truck,Truck,Collision,Dire Dawa,4200000.0,1.0,180.0,1,COMPREHENSIVE,2024-10-09 00:00:00,2024-10-10,2024-09-23,2025-03-22,4022636.75,0.0,0.0,4022636.75,15.20744815354179
TDD/MTP/028/24,TDD/MTC/1512/0722,03-66503ET,March_2025,Commercial,Truck,Truck,Collision,Dire Dawa,3500000.0,1.0,364.0,1,COMPREHENSIVE,2024-10-09 00:00:00,2024-10-10,2024-03-23,2025-03-22,311650.0,0.0,0.0,311650.0,12.649636042236995
TDD/TPCL/001/25,TDD/MTT/2760/0724,03-A36834 ET,May_2025,Commercial,Truck,Tipper,Collision,Dire Dawa,0.0,10.0,364.0,0,TP_ONLY,2024-12-24 00:00:00,2025-01-03,2024-07-02,2025-07-01,0.0,0.0,100000.0,100000.0,11.512925464970229
TDD/TPCL/002/25,TDD/MTT/0645/0620,01-08547 DR,May_2025,Public_Transport,Automobile,Force,Collision,Dire Dawa,0.0,2.0,364.0,0,TP_ONLY,2025-01-01 00:00:00,2025-01-03,2024-06-02,2025-06-01,0.0,0.0,4200.0,4200.0,8.34283980427146
TDD/TPCL/005/24,TDD/MTT/1475/0622,03-04604DR,July_2024,Commercial,Automobile,Automobile,Collision,Dire Dawa,0.0,15.0,365.0,0,TP_ONLY,2024-01-17 00:00:00,2024-02-01,2023-06-18,2024-06-17,0.0,0.0,49421.38,49421.38,10.808138403070178
TDD/TPCL/009/24,TDD/MTT/1992/0523,01-14071DR,July_2024,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,0.0,3.0,365.0,0,TP_ONLY,2024-03-05 00:00:00,2024-03-08,2023-05-16,2024-05-15,0.0,0.0,48300.0,48300.0,10.785186839640664
TDD/TPCL/011/25,TDD/MTT/2289/1023,01-13400 DR,February_2025,Public_Transport,Motorcycle,Tricycle,Collision,Dire Dawa,0.0,,364.0,0,TP_ONLY,2025-02-02 00:00:00,,2024-11-16,2025-11-15,0.0,0.0,12000.0,12000.0,9.392661928770137
TDD/TPCL/014/24,TDD/MTT/2042/0623,01-15351 DR,January_2025,Public_Transport,Motorcycle,Bajaj,Collision,Dire Dawa,0.0,1.0,365.0,0,TP_ONLY,2024-04-17 00:00:00,2024-04-18,2023-06-10,2024-06-09,0.0,0.0,7000.0,7000.0,8.85366542803745
TDD/TPCL/015/24,TDD/MTT/1511/0722,01-04927 DR,July_2024,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,0.0,1.0,365.0,0,TP_ONLY,2024-04-21 00:00:00,2024-04-22,2023-11-14,2024-11-13,0.0,0.0,7500.0,7500.0,8.922658299524402
TDD/TPCL/015/25,TDD/MTT/1914/0323,03-07377 DR,April_2025,Commercial,Bus_Minibus,Minibus,Collision,Dire Dawa,0.0,5.0,364.0,0,TP_ONLY,2025-03-14 00:00:00,2025-03-19,2024-07-11,2025-07-10,0.0,0.0,49905.0,49905.0,10.817876477120686
TDD/TPCL/018/25,TDD/MTT/1938/0323,03-02864 DR,April_2025,Commercial,Not_Specified,Not_Specified,Collision,Dire Dawa,0.0,2.0,364.0,0,TP_ONLY,2025-03-29 00:00:00,2025-03-31,2024-05-26,2025-05-25,0.0,0.0,100900.0,100900.0,11.5218852063417
TDD/TPCL/020/24,TDD/MTT/2047/0623,03-21767 ET,October_2024,Commercial,Truck,Tipper,Collision,Dire Dawa,0.0,2.0,365.0,0,TP_ONLY,2024-05-22 00:00:00,2024-05-24,2023-06-14,2024-06-13,0.0,0.0,24000.0,24000.0,10.085809109330082
TDD/TPCL/021/24,TDD/MTT/2108/0723,03-29557/05573 ET,October_2024,Commercial,Truck,Truck/Trailer,Collision,Dire Dawa,0.0,2.0,365.0,0,TP_ONLY,2024-06-01 00:00:00,2024-06-03,2023-07-26,2024-07-25,0.0,0.0,27300.0,27300.0,10.21464198117305
TDD/TPCL/022/24,TDD/MTT/2154/0823,01-15602 DR,July_2024,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,0.0,4.0,365.0,0,TP_ONLY,2024-06-07 00:00:00,2024-06-11,2023-08-29,2024-08-28,0.0,0.0,7630.0,7630.0,8.939843124278502
TDD/TPCL/024/24,TDD/MTT/2270/1023,03-93523 ET,February_2025,Commercial,Truck,Truck,Collision,Dire Dawa,0.0,2.0,365.0,0,TP_ONLY,2024-06-11 00:00:00,2024-06-13,2023-10-17,2024-10-16,0.0,0.0,14800.0,14800.0,9.602382459752208
TDD/TPCL/024/25,TDD/MTT/2807/0824,01-17260 DR,June_2025,Public_Transport,Motorcycle,Bajaje,Collision,Dire Dawa,0.0,1.0,364.0,0,TP_ONLY,2025-04-20 00:00:00,2025-04-21,2024-08-14,2025-08-13,0.0,0.0,41515.0,41515.0,10.633810086696132
TDD/TPCL/026/25,TDD/MTT/2948/0225,01-10974 DR,June_2025,Public_Transport,Motorcycle,Bajaje,Collision,Dire Dawa,0.0,4.0,,0,TP_ONLY,2025-04-24 00:00:00,2025-04-28,2025-02-21,2025-02-20,0.0,0.0,14000.0,14000.0,9.546812608597396
TDD/TPCL/028/23,TDD/MTC/2274/1022,01-15944DR,July_2024,Commercial,Automobile,Automobile,Collision,Dire Dawa,0.0,5.0,,0,TP_ONLY,2023-11-03 00:00:00,2023-11-08,2023-10-19,2023-10-18,0.0,20000.0,40000.0,60000.0,11.002099841204238
TDD/TPCL/029/24,TDD/MTT/1157/1021,03-04775 DR,March_2025,Commercial,Pick_Up,Pick Up,Collision,Dire Dawa,0.0,2.0,365.0,0,TP_ONLY,2024-08-27 00:00:00,2024-08-29,2023-10-19,2024-10-18,0.0,0.0,38000.0,38000.0,10.545341438708522
TDD/TPCL/034/23,TDD/MTT/2246/1023,01-15934DR,July_2024,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,0.0,9.0,365.0,0,TP_ONLY,2023-12-05 00:00:00,2023-12-14,2023-10-07,2024-10-06,0.0,0.0,14702.0,14702.0,9.595738817934032
TDD/TPCL/034/24,TDD/MTC/2782/0724,01-14349 DR,January_2025,Public_Transport,Motorcycle,Bajaj,Collision,Dire Dawa,0.0,6.0,364.0,0,TP_ONLY,2024-09-06 00:00:00,2024-09-12,2024-07-31,2025-07-30,0.0,0.0,17100.0,17100.0,9.746833742490752
TDD/TPCL/039/24,TDD/MTC/1512/0722,03-66503 ET,April_2025,Commercial,Truck,Tipper,Collision,Dire Dawa,0.0,2.0,364.0,0,TP_ONLY,2024-10-09 00:00:00,2024-10-11,2024-03-23,2025-03-22,0.0,0.0,158020.0,158020.0,11.970476886276725
TDD/TPCL/042/24,TDD/MTT/0450/0919,02-B45003AA,May_2025,Commercial,Pick_Up,Pick Up,Collision,Dire Dawa,0.0,78.0,,0,TP_ONLY,2024-07-29 00:00:00,2024-10-15,2024-03-26,2024-03-25,0.0,0.0,80000.0,80000.0,11.289781913656018
TDD/TPCL/045/24,TDD/MTT/1016/0521,01-09326 DR,January_2025,Public_Transport,Automobile,Automobile,Collision,Dire Dawa,0.0,20.0,,0,TP_ONLY,2024-10-29 00:00:00,2024-11-18,2024-11-18,2024-10-29,0.0,0.0,9932.0,9932.0,9.203517146628055
TDD/TPCL/056/24, TDD/MTT/0293/0319 ,03-05549 DR,March_2025,Public_Transport,Pick_Up,Pick Up,Collision,Dire Dawa,0.0,2.0,364.0,0,TP_ONLY,2024-12-26 00:00:00,2024-12-28,2024-03-23,2025-03-22,0.0,0.0,8500.0,8500.0,9.047821442478408
TDM /TPCL/028/25,TDM/MTT/2745/0325,03-18243 AM,May_2025,Public_Transport,Bus_Minibus,Mini Bus,Collision,Debremarkos,0.0,1.0,364.0,0,TP_ONLY,2025-04-10 00:00:00,2025-04-11,2025-03-09,2026-03-08,0.0,0.0,45000.0,45000.0,10.714417768752456
TDM/MTCL/0016/18,TDM/MTC/0094/0717,3-12608 AM,March_2025,Commercial,Bus_Minibus,Mini Bus,Collision,Debremarkos,400000.0,31.0,540.0,1,COMPREHENSIVE,2018-02-02 00:00:00,2018-03-05,2017-01-13,2018-07-07,5020.0,3260.0,0.0,8280.0,9.021598247379304
TDM/MTCL/0051/20,TDM/MTT/2068/1219,03-A48171AA,October_2024,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,900000.0,0.0,365.0,1,COMPREHENSIVE,2020-03-03 00:00:00,2020-03-03,2019-12-19,2020-12-18,1415.0,0.0,0.0,1415.0,7.254884810077338
TDM/MTCL/0138/18,,3-12240 AM,September_2024,Commercial,Bus_Minibus,Bus,Collision,Debremarkos,800000.0,1.0,364.0,1,COMPREHENSIVE,2018-09-25 00:00:00,2018-09-26,2017-12-10,2018-12-09,2545.0,0.0,0.0,2545.0,7.841885928984623
TDM/MTCL/0214/19,TDM/MTC/0094/0717,3-14100 AM,August_2024,Commercial,Bus_Minibus,Mini Bus,Collision,Debremarkos,400000.0,3.0,183.0,1,COMPREHENSIVE,2019-09-23 00:00:00,2019-09-26,2019-07-08,2020-01-07,43490.0,0.0,0.0,43490.0,10.680286305591684
TDM/MTCL/0245/20,TDM/MTT/1801/0919,03-20844AM,June_2025,Commercial,Bus_Minibus,Mini Bus,Overturning,Debremarkos,0.0,1.0,364.0,0,TP_ONLY,2020-10-30 00:00:00,2020-10-31,2020-09-28,2021-09-27,0.0,40000.0,40000.0,80000.0,11.289781913656018
TDM/MTP/001/25,TDM/MTC/0344/0620,03-A86854AA,February_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,3000000.0,0.0,364.0,1,COMPREHENSIVE,2025-01-02 00:00:00,2025-01-02,2024-12-19,2025-12-18,482125.75,0.0,0.0,482125.75,13.08596025112249
TDM/MTP/002/25,TDM/MTC/1436/0522,03-B43079AA,February_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,4000000.0,1.0,363.0,1,COMPREHENSIVE,2025-01-03 00:00:00,2025-01-04,2024-11-01,2025-10-30,427120.88,0.0,0.0,427120.88,12.964822343482863
TDM/MTP/003/24,TDM/MTC/2237/1123,03-84901AA,July_2024,Commercial,Automobile,Automobile,Collision,Debremarkos,3000000.0,3.0,173.0,1,COMPREHENSIVE,2024-03-13 00:00:00,2024-03-16,2023-11-18,2024-05-09,97425.0,0.0,0.0,97425.0,11.48683813020691
TDM/MTP/004/25,TDM/MTC/2406/0424,03-B62409AA,April_2025,Commercial,Not_Specified,Not_Specified,Overturning,Debremarkos,2000000.0,0.0,364.0,1,COMPREHENSIVE,2025-03-31 00:00:00,2025-03-31,2024-04-04,2025-04-03,37339.0,0.0,0.0,37339.0,10.52779363580512
TDM/MTP/005/24,TDM/MTC/2403/0324,3-A04324 AA,July_2024,Commercial,Automobile,Automobile,Overturning,Debremarkos,4000000.0,1.0,,1,COMPREHENSIVE,2024-04-07 00:00:00,2024-04-08,2024-03-30,2024-03-29,193548.31,0.0,0.0,193548.31,12.17328242437377
TDM/MTP/005/25,TDM/MTC/2776/0325,03-98039AA,April_2025,Commercial,Not_Specified,Not_Specified,Overturning,Debremarkos,4500000.0,31.0,183.0,1,COMPREHENSIVE,2025-03-04 00:00:00,2025-04-04,2025-03-26,2025-09-25,1676062.0,0.0,0.0,1676062.0,14.331957552180045
TDM/MTP/006/25,TDM/MTC/2359/0324,03-A05590AA,April_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,4000000.0,1.0,211.0,1,COMPREHENSIVE,2025-04-13 00:00:00,2025-04-14,2025-02-18,2025-09-17,1000.0,0.0,0.0,1000.0,6.907755278982137
TDM/MTP/007/24,TDM/MTC/1171/1021,03-A03673AA,January_2025,Commercial,Truck,Truck,Collision,Debremarkos,3000000.0,6.0,364.0,1,COMPREHENSIVE,2024-06-08 00:00:00,2024-06-14,2024-03-29,2025-03-28,1500.0,0.0,0.0,1500.0,7.313220387090301
TDM/MTP/007/25,TDM/MTC/2452/0524,03-99086AA,June_2025,Commercial,Not_Specified,Not_Specified,Breaking_Glass,Debremarkos,4500000.0,86.0,180.0,1,COMPREHENSIVE,2025-02-05 00:00:00,2025-05-02,2024-11-10,2025-05-09,400.0,0.0,0.0,400.0,5.991464547107982
TDM/MTP/009/24,,03-A21850ET,September_2024,Commercial,Truck,Truck,Overturning,Debremarkos,9000000.0,1.0,183.0,1,COMPREHENSIVE,2024-08-07 00:00:00,2024-08-08,2024-07-03,2025-01-02,2051821.6,0.0,0.0,2051821.6,14.534238541922184
TDM/MTP/011/25,TDM/MTC/2476/0524,03-82559AA,June_2025,Commercial,Not_Specified,Not_Specified,Overturning,Debremarkos,4000000.0,3.0,180.0,1,COMPREHENSIVE,2025-05-28 00:00:00,2025-05-31,2024-11-30,2025-05-29,900.0,0.0,0.0,900.0,6.802394763324311
TDM/MTP/012/24,TDM/MTC/1023/0723,03-A57751AA,March_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,2700000.0,0.0,364.0,1,COMPREHENSIVE,2024-11-27 00:00:00,2024-11-27,2024-07-19,2025-07-18,2464950.0,0.0,0.0,2464950.0,14.717682081277546
TDM/MTP/013/24,TDM/MTC/1709/1022,03-B51206AA,February_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,2600000.0,2.0,180.0,1,COMPREHENSIVE,2024-12-21 00:00:00,2024-12-23,2024-11-03,2025-05-02,766430.23,0.0,0.0,766430.23,13.549498949015376
TDM/TPCL/004/25,TDM/MTT/2292/0124,03-12176 AM,February_2025,Commercial,Bus_Minibus,Mini Bus,Collision,Debremarkos,0.0,5.0,364.0,0,TP_ONLY,2025-01-03 00:00:00,2025-01-08,2025-01-18,2026-01-17,0.0,0.0,45000.0,45000.0,10.714417768752456
TDM/TPCL/007/25,TDM/MTT/2386/0324,03-96108 OR,April_2025,Public_Transport,Bus_Minibus,Bus,Collision,Debremarkos,0.0,5.0,69.0,0,TP_ONLY,2025-01-12 00:00:00,2025-01-17,2025-01-12,2025-03-22,0.0,0.0,37000.0,37000.0,10.51867319162636
TDM/TPCL/008/25,TDM/MTT/2574/0924,03-63657AA,March_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,0.0,5.0,364.0,0,TP_ONLY,2025-01-16 00:00:00,2025-01-21,2024-09-17,2025-09-16,0.0,0.0,56209.65,56209.65,10.936843729326672
TDM/TPCL/013/24,TDM/MTT/2242/1123,03-A78932 AA,October_2024,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,0.0,5.0,365.0,0,TP_ONLY,2024-04-04 00:00:00,2024-04-09,2023-11-16,2024-11-15,0.0,0.0,86956.52,86956.52,11.37316350259507
TDM/TPCL/013/25,TDM/MTT/1896/0223,03-32461 Am,March_2025,Commercial,Not_Specified,Not_Specified,Collision,Debremarkos,0.0,3.0,364.0,0,TP_ONLY,2025-01-21 00:00:00,2025-01-24,2024-03-15,2025-03-14,0.0,0.0,18130.0,18130.0,9.805323303748898
TDM/TPCL/015/23,,03-12382AM,September_2024,Commercial,Bus_Minibus,Mini Bus,Collision,Debremarkos,0.0,0.0,179.0,0,TP_ONLY,2023-02-22 00:00:00,2023-02-22,2023-01-09,2023-07-07,0.0,0.0,14317.5,14317.5,9.569237844268011
